id,frame,q,a
329,35,동학에는 언제 입문하였나요?,329
330,35,안중근 집안과 어떤 관계였나요?,330
331,30,김구의 큰 며느리는 누구인가요?,331
332,21,안중근과 악연이 될 뻔한 적이 있나요?,332
333,40,처음 체포된 이유는 무엇인가요?,333
334,31,처음 체포되고 나서 감옥생활을 어떻게 마쳤나요?,334
335,23,탈옥 후에는 어떻게 생활 했나요?,335
336,26,절에서 나와 어떤 생활을 했나요?,336
337,35,과거시험은 왜 보게 되었나요?,337
338,23,과거시험에 어떤 비리가 있었나요?,338
339,25,동학농민운동은 무엇을 말하나요?,339
340,30,동학 활동 당시 어떤 별명이 있었나요?,340
341,29,안태훈은 어떤 면을 보고 숨겨주었나요?,341
342,29,안태훈은 어떤 도움들을 줬나요?,342
343,26,안중근과 초반에는 어떤 사이었나요?,343
344,35,스승 고능선에게 어떤 가르침을 받았나요?,344
345,30,스승 고능선에게 어떤 제안을 받았나요?,345
346,29,자녀들의 건강은 어땠나요?,346
347,23,을사조약후에 어떤 활동을 했나요?,347
348,30,신민회는 어떤 조직인가요?,348
349,23,신민회에는 어떤 사람이 있었나요?,349
350,38,신민회는 어떻게 변화되었나요?,350
351,28,안악사건은 무엇인가요?,351
352,23,안악사건 당시 어떻게 체포되었나요?,352
353,22,안악사건으로 투옥 후 언제 출소하였나요?,353
354,36,안악사건에서 가석방 후 어떤 생활을 하였나요?,354
355,39,신한청년당은 어떤 단체인가요?,355
356,27,신한청년당에는 누가 있었나요?,356
357,28,신한청년당 입당 후 어떤 활동을 했나요?,357
358,30,대한민국 임시정부 건립 당시 어떤 위치에 있었나요?,358
359,25,초대 경무국장은 누가 임명하였나요?,359
360,30,경무국장 재임 당시 어떤 임무를 맡았나요?,360
361,32,경무국장 당시 밀정에 대한 처벌은 어떻게 이루어졌나요?,361
362,29,직접 창설한 단체는 무엇이 있나요?,362
363,30,한인애국단에는 누가 있었나요?,363
364,24,한인애국단은 어떤 활동을 펼쳤나요?,364
365,44,한인애국단의 업적은 무엇이 있나요?,365
366,25,홍커우 의거란 어떤 사건인가요?,366
367,30,홍커우 의거 성공 후 어떤 지원이 있었나요?,367
368,34,이봉창 윤봉길의사의 의거 후에 어떤 생활을 하였나요?,368
369,38,피신생활 당시 어떤 사건이 있었나요?,369
370,28,한인애국단 외에 어떤 단체를 설립했나요?,370
371,26,임시정부에서 주석은 언제 하게 되었나요?,371
372,29,임시정부 주석 당시 어떤 노력을 하였나요?,372
373,27,임시정부 주석 외에 어떤 직위에 있었나요?,373
374,26,한국 광복군 통수부 의장으로 어떤 활동을 했나요?,374
375,22,해방 후에 받은 나쁜 대우는 무엇이 있나요?,375
376,20,임시정부 주석의 귀국이 불허된 이유는 무엇인가요?,376
377,22,"해방이 되고 귀국 한 뒤, 어떤 활동을 했나요?",377
378,22,"해방이 되고 귀국 한 뒤, 대한민국에서의 입지는 어땠나요?",378
379,18,독립운동가 송진우의 살해용의자로 의심 받았었나요?,379
380,17,모스크바 3상회의 후 어떤 활동을 했나요?,380
381,26,해방 후 이승만과는 어떤 사이였나요?,381
382,30,단독정부 수립전까지 이승만과 사이가 좋았나요?,382
383,22,장덕수 피살사건은 무엇인가요?,383
384,19,장덕수 피살사건 당시 어떤 의심을 받았나요?,384
385,21,장덕수 피살사건 용의자로 의심받은 이유는 무엇인가요?,385
386,20,장덕수 피살 즈음 미국이 부르던 별명은 무엇인가요?,386
387,28,장덕수 피살사건의 범인은 누구였나요?,387
388,26,장덕수 피살범이 잡히고 난 뒤 계속 의심 받았나요?,388
389,15,피살 배후세력으로 의심받을 때 이승만과 관계는 어땠나요?,389
390,21,장덕수 피살사건 후 정치적 입지는 어떻게 되었나요?,390
391,21,정치생활 중 남북분단을 막기 위한 시도는 무엇이 있었나요?,391
392,20,정치생활 당시 김일성과는 어떤 관계였나요?,392
393,28,통일정부 수립을 주장한 근거는 무엇이었나요?,393
394,18,사망 후 얼마 뒤에 남북전쟁이 일어났나요?,394
395,24,대통령 선거에서 얼만큼의 차이로 낙선했나요?,395
396,29,어떻게 사망하게 되었나요?,396
397,35,장례는 어떻게 치뤄졌나요?,397
398,25,사망 후 장례에는 몇 명의 인원이 왔나요?,398
399,25,장례 후 어디에 안장되었나요?,399
400,19,사망 후 어떤 변화가 있었나요?,400
401,30,치하포사건은 어떤 사건을 말하나요?,401
402,23,치하포 사건 이전에 사회적 분위기는 어땠나요?,402
403,26,치하포 사건 직전 어떤 사건이 있었나요?,403
404,23,1896년에 보고된 일본인 부상자는 몇 명이었나요?,404
405,18,치하포에서 일본인을 살해안 이유가 있나요?,405
406,19,치하포 사건 즈음 일본인에 대한 생각은 어땠었나요?,406
407,26,백범일지에 치하포사건 분량은 얼만큼인가요?,407
408,23,치하포사건의 피해자는 어떤 사람인가요?,408
409,26,사쿠라다몬의거는 어떤 사건을 말하나요?,409
410,20,실제 이봉창 의거가 벌어진 장소는 어딘가요?,410
411,21,사쿠라다몬 의거 이름이 붙여진 이유가 있나요?,411
412,23,1920년대 후반에 비밀단체를 만든 계기는 무엇인가요?,412
413,30,이봉창의 천왕 암살 계획은 어떻게 시작됐나요?,413
414,26,사쿠라다몬 의거 준비기간은 얼만큼인가요?,414
415,30,사쿠라다몬 의거는 어떻게 준비되었나요?,415
416,25,"의거 전, 이봉창의 선서식은 어떻게 진행됐나요?",416
417,20,이봉창의 선서문에는 어떤 내용이 있나요?,417
418,26,이봉창은 의거 전날 어디에서 숙박하였나요?,418
419,29,이봉창이 외곽에서 숙박한 이유가 있나요?,419
420,27,이봉창 의거에서 만난 어려움은 무엇인가요?,420
421,40,이봉창이 던진 수류탄은 어디에 맞았나요?,421
422,25,이봉창의 폭탄 투척 후 어떤 상황이 벌어졌나요?,422
423,29,이봉창 의사는 어떻게 체포되었나요?,423
424,34,자수한 이봉창 의사가 한 말은 무엇인가요?,424
425,33,의거 후 조사를 받던 당시 이봉창의 태도는 어땠나요?,425
426,30,국내 이봉창 의거에 대한 기사 내용은 어땠나요?,426
427,35,국내에서 부정적인 기사가 나온 이유가 있나요?,427
428,24,국민들은 이봉창에 대한 안좋은 기사를 어떻게 해석했나요?,428
429,29,이봉창 의거에 대한 중국 반응은 어땠나요?,429
430,23,이봉창은 의거로 인해 어떤 선고를 받았나요?,430
431,22,이봉창 의거 실패는 어떻게 평가 되었나요?,431
432,35,홍커우 공원 의거는 어떤 사건인가요?,432
433,33,윤봉길은 원래 어떤 일을 하고 있었나요?,433
434,32,윤봉길의 폭탄은 어떤 모양이었나요?,434
435,22,윤봉길의 폭탄은 누가 제작 했나요?,435
436,16,도시락 모양의 폭탄이었던 이유가 있나요?,436
437,26,도시락과 물통 모양의 폭탄은 어떤 용도였나요?,437
438,27,홍커우 의거 당일은 어떤 행사가 있었나요?,438
439,26,윤봉길은 홍커우공원에 어떻게 입장했나요?,439
440,35,도시락 폭탄은 언제 던지게 되었나요?,440
441,22,윤봉길의 폭탄은 제대로 폭발했나요?,441
442,25,윤봉길 의거에 피해자는 누구였나요?,442
443,27,만주사변과 선생님은 어떤 관계가 있나요?,443
444,30,만주 사변은 어떤 사건인가요?,444
445,24,옥관빈피살 사건은 어떤 사건을 말하나요?,445
446,26,옥관빈 피살 사건에 옥관빈은 누구였나요?,446
447,23,옥관빈은 어떤 활동을 했었나요?,447
448,27,옥관빈과 선생님은 무슨 관련이 있었나요?,448
449,23,옥관빈 피살사건에 대한 이유는 무엇인가요?,449
450,30,백범일지에 옥관빈에 대해 어떻게 기록했나요?,450
451,23,김립 피살사건은 어떤 사건인가요?,451
452,21,김립 피살사건이 흑역사인 이유는 무엇인가요?,452
453,28,김립 피살 전 어떤 일이 있었나요?,453
454,26,국제공산당 자금사건은 무엇인가요?,454
455,28,김립 피살 사건의 내용은 무엇인가요?,455
456,26,선생님이 김립을 피살한 이유는 무엇인가요?,456
457,28,김립 피살 사건에 어떤 추측이 있나요?,457
458,27,계몽운동은 언제 시작하게 되었나요?,458
459,29,일제가 외교권 빼앗자 어떤 활동을 했나요?,459
460,45,제2차 한일협약 폐기 상소운동 후 어떤 결심을 했나요?,460
461,31,제2차 한일협약 폐기상소운동 후 계몽운동은 어떻게 이어졌나요?,461
462,41,신민회 가입 후 어떤 계획을 세웠나요?,462
463,32,신민회에서 어떤 활동을 했나요?,463
464,25,신민회 활동으로 몇 년 형을 사셨나요?,464
465,50,중국으로 망명은 언제 하게 되었나요?,465
466,37,상하이로 망명 직후 어떤 일을 하셨나요?,466
467,25,임시정부에서 어떤 부분을 맡으셨나요?,467
468,23,처음 임시정부가 어려워진 이유는 무엇인가요?,468
469,28,파리강화회의에서 어떤 결과가 나왔나요?,469
470,32,한국노병회를 창설한 이유는 무엇인가요?,470
471,25,한국노병회의 노병은 어떤 의미인가요?,471
472,24,독립운동사에서 최대규모 회의는 무엇이었나요?,472
473,27,국민대표회의에서 어떤 논의가 있었나요?,473
474,30,국민대표회의에서 어떤 변화가 생겼나요?,474
475,31,회의에서 나뉜 개조파와 창조파에 대한 결론은 어땠나요?,475
476,31,국무령이 되신 후 무엇을 하셨나요?,476
477,32,윤봉길 의거 후 어떤 생활을 하셨나요?,477
478,23,임시정부 위기속에 만든 당은 무엇인가요?,478
479,24,한국국민당 안에서 무엇을 했나요?,479
480,30,한국국민당이 저격당한 적이 있었나요?,480
481,28,선생님의 암살 사건은 누가 범인이었나요?,481
482,34,사망 직전 무엇을 하고 계셨나요?,482
483,35,안두희는 방문목적을 뭐라고 설명했나요?,483
484,27,안두희는 총을 어디에 숨겼나요?,484
485,35,안두희는 범행 이유를 무엇이라고 했나요?,485
486,42,안두희는 몇 년을 선고받았나요?,486
487,38,안두희의 배후로 밝혀진 인물은 없었나요?,487
488,28,6.25 전쟁 발발 후 안두희는 어떻게 되었나요?,488
489,33,6.25 전쟁이 끝나고 안두희의 삶은 어땠나요?,489
490,33,선생님에 대한 암살 사건에 조사는 어떻게 진행되었나요?,490
491,37,보고서에서는 선생님의 암살 배후를 어떻게 보았나요?,491
492,32,안두희는 이후 조사에서 어떻게 되었나요?,492
493,29,안두희를 향한 보복은 없었나요?,493
494,38,안두희 배후와 관련된 일은 없었나요?,494
495,44,안두희는 단독범행을 주장했나요?,495
496,37,안두희 사건 전에도 암살시도가 있었나요?,496
497,28,이운한은 왜 선생님께 총을 겨누었나요?,497
498,33,안두희를 죽인 박기서는 어떻게 붙잡혔나요?,498
499,30,박기서가 안두희를 살해한 동기는 무엇인가요?,499
500,34,박기서에 대한 국민들의 반응은 어땠나요?,500
1001,20,안녕하세요,1001
1002,20,안녕하세요,1002
1003,20,안녕하세요,1003
1004,35,김구 본인,1004
1005,70,김구 본인,1005
1006,60,김구 본인,1006
1007,60,어린시절,1007
1008,65,어린시절,1008
1009,45,어린시절,1009
1010,55,동학활동,1010
1011,70,동학활동,1011
1012,30,치하포의거,1012
1013,50,치하포의거,1013
1014,50,치하포의거,1014
1015,46,인사(화성),1015
1016,29,인사(화성),1016
1017,29,인사(화성),1017
1018,29,인사(광주),1018
1019,57,인사(광주),1019
1020,30,인사(광주),1020
1021,49,김구 본인,1021
1022,40,김구 본인,1022
1023,40,김구 본인,1023
1024,35,어린시절,1024
1025,40,어린시절,1025
1026,35,어린시절,1026
1027,30,동학활동,1027
1028,23,동학활동,1028
1029,25,치하포의거,1029
1030,33,치하포의거,1030
1031,38,대한민국 임시정부,1031
1032,30,대한민국 임시정부,1032
1033,30,대한민국 임시정부,1033
1034,37,주변인물,1034
1035,32,주변인물,1035
1036,33,주변인물,1036
1037,31,오류,1037
1038,37,오류,1038
1039,25,오류,1039
1040,25,오류,1040
1041,30,오류,1041
1042,37,오류,1042
1043,29,오류,1043
1044,29,오류,1044
1045,29,작별,1045
1046,29,작별,1046
1047,31,작별,1047
1048,31,어디김씨인가요?,1048
1049,29,고향은 어디인가요?,1049
1050,29,어린시절의 이름은 무엇인가요?,1050
1051,27,이름을 왜 계속 바꾸었나요?,1051
1052,30,태몽은 무엇이었나요?,1052
1053,30,어떻게 태어났나요?,1053
1054,24,아버지 성함은 무엇인가요?,1054
1055,20,아버지는 어떠한 분인신가요?,1055
1056,29,어머니 성함은 무엇인가요?,1056
1057,37,어머니는 어떠한 분이신가요?,1057
1058,25,어린시절 소원은 무엇이었나요?,1058
1059,30,공부를 열심히 하셨나요?,1059
1060,30,어디서 공부를 하였나요?,1060
1061,26,과거시험을 본 결과는 어떠했나요?,1061
1062,23,어린시절 어떤 아이였나요?,1062
1063,30,동학은 무엇인가요?,1063
1064,24,많은 사람들이 동학을 믿었나요?,1064
1065,28,당시 별명이 있었나요?,1065
1066,30,동학을 믿으며 어떠한 일을 하였나요?,1066
1067,30,당시 어떠한 분의 가르침을 받았나요?,1067
1068,26,스승님을 만났을때 어떤 기분이었나요?,1068
1069,30,당시 도움을 준 사람은 누구인가요?,1069
1070,27,안중근의사의 어린시절은 어떠했나요?,1070
1071,20,안중근의사에게 동생도 있었나요?,1071
1072,24,청국에 간 이유는 무엇인가요?,1072
1073,30,청국시찰은 혼자 떠났나요?,1073
1074,20,치하포 의거는 무엇인가요?,1074
1075,28,스치다가 일본군이 맞나요?,1075
1076,30,어떻게 스치다가 일본군이라는 것을 알았나요?,1076
1077,40,스치다와 싸울 때 무섭지 않았나요?,1077
1078,27,스치다를 처단한 후에는 어떻게 했나요?,1078
1079,35,치하포 의거 후 어떻게 되었나요?,1079
1080,35,사형선고를 받았을때 기분이 어땠나요?,1080
1081,30,사형선고 후 어떻게 된건가요?,1081
1082,36,사형집행 중지의 소식을 듣고 어땠나요?,1082
1083,27,안창호는 임시정부 수립에 어떤 역할을 하였나요?,1083
1084,30,안창호의 상해 도착 당시 임시정부는 어떤 상태였나요?,1084
1085,30,임시정부 내에서 안창호는 어떤 일을 하였나요?,1085
1086,30,안공근이 임시정부로 향한 이유는 무엇인가요?,1086
1087,30,안공근이 외교특사로 정해진 이유는 무엇인가요?,1087
1088,35,연미당은 임시정부를 위해 어떤 일을 했나요?,1088
1089,27,연미당이 임시정부 요원들을 위해 한 일은 무엇인가요?,1089
1090,37,임시정부 내에서 이승만의 역할은 무엇이었나요?,1090
1091,26,이승만이 탄핵 된 이유는 무엇인가요?,1091
1092,30,임시정부 수립당시 김구의 역할은 무엇이었나요?,1092
1093,25,신탁통치 반대운동은 무엇입니까?,1093
1094,30,신탁통치 관련 보도 후 국민들의 반응은 어땠습니까?,1094
1095,30,신탁통치 반대를 위해 어떤 일이 벌어졌나요?,1095
1096,40,신탁통치에 대한 북한의 반응은 어땠나요?,1096
1097,20,공산주의자들이 반탁에서 찬탁으로 돌아선 이유는 무엇인가요?,1097
1098,25,신탁통치에 대한 남한의 입장은 어땠나요?,1098
1099,24,반탁운동은 언제까지 진행되었나요?,1099
1100,30,신탁통치 오보사건은 무엇인가요?,1100
1101,30,신탁통치 오보사건에 대한 반응은 어땠나요?,1101
1102,25,신탁통치 오보로 인해 어떤 인식이 생겨났나요?,1102
1103,33,상해 임시정부는 몇 년도에 설립되었나요?,1103
1104,26,임시정부가 설립된 목적 무엇인가요?,1104
1105,23,국호를 정하는 회의에는 누가 참여했나요?,1105
1106,26,임시정부는 어떤 활동을 하였나요?,1106
1107,20,대한민국 임시정부가 설립된 위치는 어디인가요?,1107
1108,26,임시정부 기념일이 변경된 이유는 무엇인가요?,1108
1109,30,상해임시정부 이전의 정부는 없었나요?,1109
